流水號,調查日期,縣市,鄉鎮市區,村里,調查地區分類,調查機關或代表地點,緯度,經度,調查戶數,陽性戶數,陽性戶數(有埃及斑蚊幼蟲),調查人員種類,積水容器數量(戶內),積水容器數量(戶外),陽性容器數量(戶內),陽性容器數量(戶外),採獲埃及斑蚊雌蟲數(戶內),採獲埃及斑蚊雌蟲數(戶內),採獲白線斑蚊雌蟲數(戶內),採獲白線斑蚊雌蟲數(戶內),孳生埃及斑蚊幼蟲數,孳生白線斑蚊幼蟲數,孳生斑蚊幼蟲數(未分類),孳生斑紋蛹數,布氏指數,布氏級數,成蟲指數(埃及斑蚊),成蟲指數(白線斑蚊),住宅指數,住宅級數,住宅指數(有白線斑蚊),住宅級數(有白線斑蚊),容器指數,容器級數,幼蟲指數,幼蟲級數,蛹指數
195,2015/8/13,台南市,安平區,國平里,住宅,,22.9793723,120.1675902,17,,,監測,2,1,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-
196,2015/8/13,台南市,北　區,永祥里,住宅,,23.0160134,120.2202587,125,1,1,監測,14,26,0,1,,,,,5,,,,1,1,0,0,1,1,1,1,3,1,4,2,-
197,2015/8/13,台南市,北　區,六甲里,住宅,,23.0127602,120.2101595,165,,,監測,16,31,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-
198,2015/8/13,台南市,南　區,新興里,住宅,,22.9799434,120.19537,50,4,4,監測,44,14,3,2,,,,,200,,,,10,3,0,0,8,3,8,3,9,3,400,6,-
199,2015/8/13,台南市,南　區,廣州里,住宅,,22.9841637,120.1928448,50,1,1,監測,8,15,1,0,,,,,5,,,,2,1,0,0,2,1,2,1,4,2,10,2,-
200,2015/8/13,台南市,南　區,文華里,住宅,,22.98611,120.1899588,50,1,1,監測,5,9,0,1,,,,,15,,,,2,1,0,0,2,1,2,1,7,3,30,3,-
201,2015/8/13,台南市,南　區,松安里,住宅,,22.9248924,120.1776926,50,2,2,監測,10,33,0,2,,,,,90,,,27,4,1,0,0,4,2,4,2,5,2,180,5,54
202,2015/8/13,台南市,南　區,金華里,住宅,,22.9796984,120.1885158,51,,,監測,11,9,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-
203,2015/8/13,台南市,永康區,三合里,住宅,,23.010739,120.2390123,52,4,,監測,22,24,3,1,,,,,,44,,5,8,2,0,0,8,3,0,0,9,3,85,4,10
204,2015/8/13,台南市,永康區,甲頂里,住宅,,23.0217702,120.2152092,50,2,,監測,18,7,1,1,,,,,,25,,,4,1,0,0,4,2,0,0,8,3,50,4,-
